Setting,AGPFile,AGPDC02,AGPMerchant,AGPVEEAM01,AGPCTXAPP,AGPCTX,AGPDC03
AllowNonstandardModeCombinations,1 (Local),1 (Local),1 (Local),1 (Local),1 (Local),1 (Local),1 (Local)
AnnounceFlags,10 (Local),5 (Local),10 (Local),10 (Local),10 (Local),10 (Local),10 (Local)
CompatibilityFlags,2147483648 (Local),2147483648 (Local),2147483648 (Local),2147483648 (Local),2147483648 (Local),2147483648 (Local),2147483648 (Local)
CrossSiteSyncFlags,2 (Policy),2 (Policy),2 (Policy),2 (Policy),2 (Policy),2 (Policy),2 (Policy)
DllName,C:\Windows\system32\w32time.dll (Local),C:\Windows\System32\vmictimeprovider.dll (Local),C:\Windows\system32\w32time.dll (Local),C:\Windows\system32\w32time.dll (Local),C:\Windows\system32\w32time.dll (Local),C:\Windows\system32\w32time.dll (Local),C:\Windows\SYSTEM32\w32time.DLL (Local)
Enabled,0 (Local),1 (Local),0 (Local),0 (Local),0 (Local),0 (Local),1 (Local)
EventLogFlags,0 (Policy),0 (Policy),0 (Policy),0 (Policy),0 (Policy),0 (Policy),0 (Policy)
FrequencyCorrectRate,4 (Local),4 (Local),4 (Local),4 (Local),4 (Local),4 (Local),4 (Local)
HoldPeriod,5 (Local),5 (Local),5 (Local),5 (Local),5 (Local),5 (Local),5 (Local)
InputProvider,0 (Local),1 (Local),0 (Local),0 (Local),0 (Local),0 (Local),0 (Local)
LargePhaseOffset,50000000 (Local),50000000 (Local),50000000 (Local),50000000 (Local),50000000 (Local),50000000 (Local),50000000 (Local)
LargeSampleSkew,3 (Local),3 (Local),3 (Local),3 (Local),3 (Local),3 (Local),3 (Local)
LocalClockDispersion,10 (Local),10 (Local),10 (Local),10 (Local),10 (Local),10 (Local),10 (Local)
MaxAllowedPhaseOffset,300 (Local),300 (Local),300 (Local),300 (Local),300 (Local),300 (Local),300 (Local)
MaxNegPhaseCorrection,4294967295 (Local),172800 (Local),4294967295 (Local),4294967295 (Local),4294967295 (Local),4294967295 (Local),172800 (Local)
MaxPollInterval,10 (Local),10 (Local),10 (Local),10 (Local),10 (Local),10 (Local),10 (Local)
MaxPosPhaseCorrection,4294967295 (Local),172800 (Local),4294967295 (Local),4294967295 (Local),4294967295 (Local),4294967295 (Local),172800 (Local)
MinPollInterval,6 (Local),6 (Local),6 (Local),6 (Local),6 (Local),6 (Local),6 (Local)
PhaseCorrectRate,1 (Local),7 (Local),1 (Local),1 (Local),1 (Local),1 (Local),7 (Local)
PollAdjustFactor,5 (Local),5 (Local),5 (Local),5 (Local),5 (Local),5 (Local),5 (Local)
ResolvePeerBackoffMaxTimes,7 (Policy),7 (Policy),7 (Policy),7 (Policy),7 (Policy),7 (Policy),7 (Policy)
ResolvePeerBackoffMinutes,15 (Policy),15 (Policy),15 (Policy),15 (Policy),15 (Policy),15 (Policy),15 (Policy)
SpecialPollInterval,3600 (Policy),3600 (Policy),3600 (Policy),3600 (Policy),3600 (Policy),3600 (Policy),3600 (Policy)
SpikeWatchPeriod,900 (Local),900 (Local),900 (Local),900 (Local),900 (Local),900 (Local),900 (Local)
TimeJumpAuditOffset,28800 (Local),28800 (Local),28800 (Local),28800 (Local),28800 (Local),28800 (Local),28800 (Local)
Type,NT5DS (Policy),NT5DS (Policy),NT5DS (Policy),NT5DS (Policy),NT5DS (Policy),NT5DS (Policy),NT5DS (Policy)
UpdateInterval,100 (Local),100 (Local),100 (Local),100 (Local),100 (Local),100 (Local),100 (Local)
